"DEPTID","HIRE_DT","ANNUAL_RT","Gross"
"C90786","5/23/2005","10864.00","10390.86"
"A70414","10/26/2015","29453.00","24338.99"
"A99124","10/1/2012","66122.00","66868.48"
"A68005","7/1/1986","62800.00","62194.11"
"A64225","11/15/2004","81410.00","94222.76"
"B70410","2/27/2006","32448.00","38122.31"
"A04001","8/23/2007","36055.00","32170.42"
"C90786","9/27/2007","10657.00","11178.76"
"A06050","2/10/2003","33352.00","33251.41"
"A90201","5/30/2013","38140.00","45798.02"
"A06010","10/27/2014","64900.00","64156.38"
"C90786","9/27/2007","10657.00","10238.80"
"A50101","7/9/2001","40181.00","47336.64"
"A49102","6/30/1997","39301.00","39646.30"
"C90786","3/21/1992","11812.00","11225.15"
"A51001","1/2/2017","121400.00","43838.98"
"A99364","1/3/2013","31765.00","31765.00"
"A99372","12/1/1977","56295.00","55169.67"
"P04002","6/21/2016","19240.00","4725.94"
"P04002","6/21/2016","19240.00","4579.92"
"A04015","5/3/2010","19802.00","12195.38"
"A50209","2/11/2017","32114.00","11502.43"
"A49104","5/13/1991","67902.00","73970.54"
"A50609","1/4/2016","87400.00","85600.22"
"C90786","10/21/2004","10864.00","10501.97"
"A70105","8/1/2005","33562.00","42109.35"
"A99408","12/18/2003","73454.00","74909.41"
"C90786","6/16/2005","10864.00","10568.81"
"A70415","4/17/2008","29453.00","23747.72"
"A85001","12/30/1987","39622.00","41712.96"
"A83004","5/9/2016","116688.00","112115.31"
"A38410","11/13/2008","36275.00","36091.08"
"A64126","11/23/1998","84137.00","102568.60"
"B70353","8/6/2001","37669.00","42603.17"
"A50701","6/21/2008","31765.00","1249.04"
"A50302","12/22/2003","41821.00","51986.79"
"A99408","10/18/2007","70735.00","68829.24"
"A75082","9/21/1997","45348.00","56923.62"
"A85100","7/22/1976","40835.00","38016.47"
"A91013","7/20/2017","28931.00","28931.00"
"A70105","8/28/2000","34540.00","34221.30"
"A70103","3/29/1993","38043.00","50542.85"
"A65101","7/1/2006","26680.00","25608.14"
"A06011","7/28/2003","66600.00","65405.16"
"A30002","7/29/2017","48158.00","48158.00"
"P04001","6/19/2014","20800.00","11277.50"
"A70360","8/21/1995","33978.00","35410.96"
"A70103","4/14/1988","39090.00","38358.92"
"A38002","3/9/1995","49139.00","51592.19"
"A99225","5/8/2008","70051.00","95191.70"
"A99006","7/13/2011","66784.00","75889.06"
"P04001","7/25/2017","20800.00","20800.00"
"P04002","8/3/2016","19240.00","212.41"
"A99415","10/30/2003","98311.00","112611.07"
"A49104","10/25/1995","41629.00","40120.90"
"P04001","6/25/2012","19240.00","2322.63"
"A64218","1/19/2011","65009.00","77771.34"
"B70412","11/7/2007","31512.00","33757.82"
"A75005","2/23/2015","19240.00","8151.45"
"A31001","3/21/2011","55610.00","54519.92"
"A99321","10/13/1999","78289.00","85544.97"
"A38001","3/3/2011","54026.00","55840.01"
"A08004","10/19/2009","63900.00","62484.34"
"A65048","4/29/1985","66776.00","65724.96"
"P04002","5/28/2017","22464.00","9356.33"
"A99061","12/12/2013","58963.00","69731.35"
"A04007","7/29/1979","40137.00","39590.96"
"A06004","5/21/2001","59500.00","58763.36"
"A65042","6/16/2014","40603.00","49328.38"
"A50603","6/15/1998","51888.00","63707.16"
"A64136","11/15/2004","81410.00","89727.48"
"A08011","11/4/2006","33562.00","33493.48"
"A91013","9/16/1999","35225.00","35315.89"
"A64126","8/28/2006","65009.00","68369.29"
"A64006","9/19/2005","64067.00","84493.91"
"A64603","10/3/2005","51890.00","65415.66"
"P04002","6/19/2010","22464.00","10864.80"
"A67006","10/27/1988","82100.00","81421.91"
"A68007","4/1/2013","31782.00","32908.10"
"A90201","1/28/1993","90500.00","89729.07"
"A99195","9/23/2013","62676.00","55872.00"
"A02002","12/8/2016","62306.00","32186.17"
"A85001","4/23/2012","32584.00","32714.90"
"A99033","1/6/2009","70051.00","80559.42"
"A19102","10/20/2008","77500.00","76672.45"
"A64006","3/26/1990","142007.00","131160.83"
"A64133","8/19/1996","87455.00","93481.89"
"A64106","2/16/1999","95065.00","115910.93"
"A64201","11/23/1998","82132.00","83981.61"
"A50307","11/8/2004","46929.00","54595.38"
"A64129","12/12/2007","76808.00","81085.27"
"A99194","11/26/2001","78747.00","93845.33"
"A99337","1/24/1994","82484.00","119117.73"
"A64144","5/20/1991","92778.00","88211.29"
"A99033","6/6/2016","49088.00","48887.37"
"P04001","12/11/2006","20800.00","12035.00"
"A54103","5/23/2015","45970.00","44396.28"
"A64131","11/15/2004","79470.00","93010.84"
"A50207","10/5/1999","43039.00","48100.44"
"A99200","8/11/1997","92393.00","146521.07"
"A49300","6/5/2017","28488.00","1074.19"
"A14008","7/12/2012","39983.00","37550.76"
"A64230","2/23/2009","65009.00","71645.55"
"A49390","3/5/2012","35378.00","78750.26"
"A29005","8/18/2003","109100.00","105514.07"
"A06009","4/20/2009","70000.00","70291.15"
"A99063","4/25/2007","71412.00","82146.84"
"A23001","9/11/2006","138600.00","137117.61"
"A99124","12/29/1993","95689.00","115777.46"
"A65099","7/1/2006","26680.00","26982.58"
"A38006","8/21/1981","46851.00","46944.86"
"A64003","11/24/1994","75705.00","89345.03"
"A99062","4/3/2012","60617.00","60277.63"
"A65042","2/7/2014","40603.00","49331.27"
"A08005","7/17/2017","30265.00","30265.00"
"A41101","11/11/1987","103645.00","102332.01"
"A49108","3/1/2010","39343.00","50304.03"
"A99064","4/11/2011","66784.00","94527.33"
"A85301","7/30/2009","32584.00","34903.50"
"A06032","12/8/2014","36769.00","30431.03"
"A64603","12/18/2002","51890.00","69698.66"
"A99093","12/8/2014","50815.00","59908.41"
"A75057","11/17/1986","40137.00","41776.98"
"A50602","12/7/2015","29120.00","34828.71"
"A75083","1/30/2006","37137.00","42804.13"
"A70404","9/28/2015","29453.00","23151.93"
"A90201","12/15/2005","42852.00","48777.87"
"A50550","11/21/1994","37322.00","50925.85"
"A99196","1/3/2012","66122.00","94739.70"
"A91012","1/14/2016","44092.00","39893.14"
"P04001","7/13/2016","24960.00","16800.00"
"A50553","9/11/2006","31345.00","36220.91"
"A64226","10/19/2011","65009.00","74822.35"
"A64603","4/3/1989","84271.00","102804.27"
"A64126","9/13/2004","65009.00","79112.12"
"A99063","6/26/2012","66122.00","107331.97"
"A49390","7/21/1997","53357.00","131624.15"
"A50209","9/9/2017","32114.00","32114.00"
"A70105","1/22/2002","37500.00","37069.34"
"A64466","11/23/1998","72140.00","133289.89"
"C90786","12/21/2000","11180.00","10732.59"
"A99091","4/15/2010","69373.00","89171.24"
"A65001","4/18/2011","59500.00","58924.99"
"A64460","12/11/1995","80102.00","89225.05"
"A50701","5/23/2016","29120.00","26806.99"
"A64604","1/4/1988","50491.00","52787.41"
"A99398","11/9/2004","72775.00","100514.72"
"P04002","5/27/2017","19240.00","278.78"
"A99194","11/15/2011","66122.00","77281.75"
"A50702","7/28/1975","57274.00","79493.50"
"A99408","1/5/1999","78988.00","72532.45"
"B70410","3/8/2011","31512.00","33508.94"
"P04002","5/27/2017","19240.00","835.63"
"P04002","5/27/2017","19240.00","2801.26"
"A68011","5/1/2017","24960.00","3684.00"
"A64603","4/27/1989","95486.00","99763.43"
"P04002","6/14/2016","19240.00","3261.24"
"P04002","5/24/2010","20800.00","20800.00"
"A70415","9/28/2015","33342.00","44171.47"
"A09001","6/23/2007","33803.00","33803.00"
"A75072","4/2/2012","63300.00","60130.44"
"A29017","6/2/2008","86700.00","83225.09"
"A65026","12/14/2011","139800.00","139314.17"
"A49104","4/19/2006","50419.00","52299.38"
"A31012","7/6/2010","58066.00","57583.85"
"A29008","5/8/2017","37415.00","4174.50"
"A70104","4/25/2016","26832.00","24002.01"
"A06034","1/27/1997","63292.00","61490.77"
"A65034","10/11/2001","31737.00","31441.01"
"A64460","12/8/1980","117264.00","149279.33"
"A29008","5/12/2014","69800.00","67720.02"
"A49105","9/27/1971","99840.00","34492.32"
"A30002","9/28/2015","67600.00","66252.63"
"A64114","9/18/1995","74021.00","75048.27"
"A64463","12/16/1996","96755.00","95138.28"
"A49370","9/29/1979","72000.00","71792.08"
"A99061","5/1/2014","58963.00","60376.61"
"A50401","1/5/2004","54883.00","54823.33"
"A65095","7/1/2006","26680.00","26432.95"
"A90045","5/23/2013","29890.00","48472.75"
"A14003","2/20/2003","50419.00","55728.39"
"A65072","4/8/2010","5512.00","3042.20"
"A08011","5/12/2009","32584.00","33275.09"
"A40001","8/5/2008","100400.00","100350.35"
"A70105","7/16/1994","33978.00","34720.06"
"A99322","12/13/1993","96951.00","103872.01"
"A30001","12/9/2002","49627.00","56050.08"
"A41101","1/5/2009","63300.00","62446.25"
"A50206","10/7/1982","35006.00","35988.52"
"A85001","8/11/2014","76000.00","65491.77"
"A18001","11/15/2012","43295.00","40814.20"
"A90040","5/30/2013","41604.00","41622.34"
"A49507","7/20/1987","45858.00","64996.75"
"A64104","1/3/2005","71092.00","82776.91"
"A75076","1/14/2008","32381.00","30524.98"
"A02003","9/4/2001","85300.00","85316.93"
"A38002","1/24/2008","45083.00","45161.05"
"A06031","12/22/2008","102000.00","101896.59"
"C90786","5/21/2009","10548.00","10206.75"
"A64461","12/13/2004","69802.00","93016.23"
"A29006","7/27/2015","67218.00","65847.92"
"A06015","11/17/2014","36275.00","40771.19"
"A65075","11/23/1987","141600.00","136530.54"
"A65026","1/12/2017","78500.00","31688.13"
"A99001","9/4/1991","97309.00","91964.39"
"A99309","6/30/2010","71047.00","75794.67"
"A99322","8/3/2004","73454.00","133303.83"
"A02002","6/8/2015","54486.00","52855.92"
"A49300","12/1/1982","106000.00","104808.46"
"A67002","2/28/2004","62445.00","62600.78"
"A08011","6/23/2007","30534.00","30534.00"
"A06020","4/24/1989","67100.00","66890.52"
"A29036","11/25/1985","102800.00","100700.00"
"A99416","2/13/2017","48971.00","16442.16"
"A64150","2/25/2004","69211.00","70586.01"
"A99415","9/26/2002","77591.00","84173.47"
"A99MIL","10/27/2010","66784.00","0.00"
"A85604","4/1/1975","86000.00","81586.81"
"A65012","6/1/2016","127296.00","86978.40"
"A50305","10/14/2003","54883.00","54135.95"
"A41101","2/1/2011","188000.00","180809.15"
"A99123","6/21/2006","72094.00","72125.94"
"A09001","2/5/2015","42153.00","40548.93"
"A90201","8/29/2002","58946.00","62528.52"
"A02002","12/8/2016","51946.00","26834.39"
"A75081","9/28/2015","26371.00","21791.33"
"B70346","11/22/2004","33613.00","43583.80"
"B70411","8/24/2009","31512.00","35449.70"
"A70104","4/5/2001","34323.00","38527.61"
"A50804","12/15/2008","34902.00","42807.58"
"A85100","4/15/1985","65416.00","34490.28"
"A91011","12/29/2008","73260.00","66282.84"
"A49320","7/3/2017","28488.00","28488.00"
"A75083","2/3/2014","30265.00","30265.00"
"A29011","2/19/2002","80500.00","79788.39"
"A91015","9/4/2012","36446.00","36658.98"
"A90005","7/25/2002","63281.00","64881.08"
"A99094","11/15/2005","70735.00","79514.53"
"A64201","10/19/2011","65009.00","75802.97"
"A50803","9/28/1992","53866.00","98666.12"
"A99200","11/23/2004","83576.00","96969.33"
"A70101","6/22/2015","31017.00","30446.69"
"A50207","6/5/2006","41821.00","39707.27"
"A49102","10/27/1997","38219.00","32430.22"
"A99124","4/12/2007","76892.00","115543.70"
"A99416","2/22/2017","48971.00","14989.41"
"A99004","12/15/2003","73454.00","109384.87"
"A99124","3/2/2006","72094.00","75834.91"
"A99322","1/11/1996","83044.00","82833.42"
"A99170","7/26/1999","78988.00","104526.17"
"A04015","7/11/2011","19802.00","10967.29"
"A64006","12/11/1995","142007.00","143991.27"
"A64604","4/27/2006","46435.00","54466.06"
"A50207","10/7/1985","46693.00","44790.93"
"A04007","5/25/1987","63950.00","69333.20"
"A85001","9/10/1998","51888.00","66661.47"
"A64156","8/22/2003","69145.00","87712.58"
"A85302","9/1/2005","48846.00","54592.53"
"A75082","4/29/2013","40935.00","44462.66"
"A19101","4/19/2000","8062.00","8062.08"
"A65001","2/6/1988","50491.00","53919.78"
"B70410","12/6/2006","31512.00","30125.68"
"A85301","7/10/2014","42182.00","47660.37"
"B70359","8/24/1992","34091.00","32770.72"
"A64003","7/12/2017","37320.00","37320.00"
"A50207","2/12/2007","41821.00","46811.84"
"A09001","2/5/2015","39098.00","38304.26"
"A70105","10/31/2005","31345.00","16766.52"
"A06038","6/29/2009","48950.00","36155.03"
"A83006","5/8/2017","29897.00","3382.04"
"A14007","10/22/2007","34902.00","33796.22"
"P04001","5/27/2017","19760.00","19760.00"
"A91018","5/10/2013","23920.00","4919.16"
"A65041","6/17/2013","57121.00","53197.09"
"A64227","11/11/1974","78527.00","89804.03"
"C90786","4/2/2012","10548.00","7851.69"
"A85301","7/6/2017","21840.00","21840.00"
"A51001","11/10/2015","61000.00","58454.11"
"A64123","9/19/2005","68793.00","73385.80"
"A99061","12/10/2008","70051.00","93626.16"
"A64006","2/7/1977","132128.00","137980.69"
"A54103","12/3/1985","61279.00","61686.95"
"A99372","7/17/2000","48950.00","49547.23"
"A90201","1/4/2001","41087.00","41740.48"
"A99362","8/16/2004","54883.00","51944.90"
"A90201","5/30/2013","40935.00","62376.94"
"A70104","10/1/2001","33043.00","35070.81"
"A99348","11/25/2002","73454.00","93393.74"
"A29036","8/10/1987","63950.00","61534.16"
"A03027","9/11/2017","27023.00","27023.00"
"A03084","2/23/2015","78700.00","66660.12"
"A64201","10/23/2007","65009.00","79784.94"
"A91015","9/18/2003","42852.00","38812.55"
"A23001","8/1/2016","67300.00","58384.56"
"P04001","6/11/2009","27040.00","27040.00"
"A02001","12/9/2004","67756.00","66972.56"
"A65095","1/12/2017","50841.00","26157.98"
"A99030","9/26/1984","83881.00","111414.26"
"A99334","12/23/1987","83881.00","116922.81"
"A99061","7/17/2014","49833.00","55208.02"
"A99125","11/14/2006","76892.00","78408.34"
"A14003","2/1/2017","26745.00","8407.50"
"A50307","8/4/1997","54834.00","94411.20"
"A65201","3/12/2007","69600.00","69566.83"
"A85302","11/16/1998","44712.00","53354.53"
"A99032","1/5/1996","108119.00","132274.78"
"A50303","7/10/1995","47774.00","52395.23"
"A50209","10/10/2006","40279.00","40348.27"
"C90786","2/8/2012","10548.00","10146.75"
"A85301","10/22/2009","42182.00","43568.64"
"A08010","10/20/2008","61600.00","59241.33"
"A91018","9/4/2012","23920.00","4702.98"
"A85302","10/19/1998","36996.00","32999.97"
"A64001","2/12/2007","89000.00","89790.11"
"A99415","10/14/1993","82484.00","111791.06"
"A41101","10/7/2016","64584.00","41538.38"
"A50603","5/7/2007","35949.00","44466.07"
"A50582","2/20/1996","44257.00","43364.82"
"A03027","12/28/2015","40541.00","38692.68"
"A65026","5/27/2010","45083.00","49907.09"
"A99295","4/27/2009","70051.00","104708.72"
"A14001","11/10/2005","35949.00","34170.87"
"A41103","11/3/2008","48158.00","46637.55"
"A64226","5/8/2000","71097.00","77966.01"
"A99030","9/22/1994","126378.00","119534.57"
"A64216","10/23/2007","66489.00","74645.64"
"P04001","5/25/2017","41600.00","41600.00"
"A99302","1/15/2002","76892.00","76883.73"
"A90201","6/28/2007","38761.00","41326.74"
"A29011","6/12/2000","39609.00","38832.01"
"A49410","11/30/1987","39622.00","53182.47"
"A49308","11/19/1987","34091.00","37550.84"
"A70402","5/12/1986","46693.00","69576.62"
"A65098","7/1/2006","26680.00","27078.53"
"A50302","6/6/2016","32975.00","37728.30"
"A29004","11/2/1998","35007.00","34356.08"
"A84402","10/3/2013","36275.00","44490.47"
"A57001","12/14/1992","87412.00","76973.96"
"A06083","1/11/2010","48950.00","47667.15"
"C90786","6/14/2007","10864.00","10429.09"
"P04001","6/26/2006","24960.00","11075.76"
"A99422","5/8/1996","94003.00","114319.39"
"A49108","9/8/1976","59751.00","76049.15"
"C90786","9/21/2017","9663.00","9663.00"
"A67011","6/14/2003","39098.00","47208.54"
"A64226","7/20/1987","92778.00","104350.37"
"A29017","2/20/1996","60614.00","59427.97"
"A65021","10/1/2016","31765.00","16788.24"
"A38001","5/23/2013","51051.00","47951.88"
"A50701","11/17/2008","33803.00","35572.35"
"A50609","6/19/2017","64200.00","64200.00"
"A99361","10/26/2006","29994.00","15126.77"
"A19103","1/24/2011","64300.00","64546.61"
"A64464","6/3/2015","36263.00","36536.27"
"A99386","11/28/2016","33803.00","18901.56"
"A99425","9/8/2009","70051.00","98533.34"
"A38001","5/29/1997","107159.00","106996.26"
"A65026","7/1/2007","50238.00","64799.64"
"A99335","3/20/2012","67719.00","83552.74"
"A01001","9/28/2014","91700.00","90860.32"
"A64604","1/6/1994","51163.00","54260.35"
"A24002","2/3/2014","76900.00","78369.41"
"A64139","12/11/1989","91659.00","94957.58"
"B49308","6/12/2000","32260.00","32224.68"
"A64205","11/23/1998","82132.00","94868.50"
"A99302","11/12/2003","75225.00","77603.26"
"A65200","5/21/2001","19240.00","19240.00"
"A99002","4/16/2013","62676.00","85564.20"
"A64227","8/30/1993","75705.00","75572.27"
"A99305","7/7/1992","97309.00","122313.29"
"B70411","9/15/2011","31512.00","32251.84"
"P04002","6/9/2007","20800.00","4430.00"
"A99416","3/27/2017","48971.00","10359.25"
"A06043","6/3/2010","42350.00","41499.39"
"A99195","12/22/2008","81984.00","103203.13"
"A75059","12/4/2006","31883.00","29640.34"
"P04001","6/27/2005","20800.00","11255.00"
"P04002","6/1/2017","20800.00","20800.00"
"A17001","6/10/1974","45351.00","43093.00"
"A91013","5/30/2014","28165.00","28623.38"
"A64465","10/3/2005","78315.00","78681.50"
"A49102","10/1/2015","93600.00","92437.00"
"A06015","12/3/1975","64000.00","53738.98"
"A50303","12/11/2000","54134.00","61194.49"
"A50804","6/17/2013","31017.00","38810.73"
"A65096","7/1/2007","26680.00","26525.57"
"A99337","12/20/2005","72094.00","89967.88"
"A50701","6/17/2013","39343.00","46903.13"
"A85301","2/26/2009","42182.00","53491.04"
"A65096","1/6/2011","26680.00","26588.26"
"A29002","8/12/2006","69035.00","55143.60"
"A90201","2/3/2014","38140.00","24753.35"
"A50208","4/28/1986","46693.00","61073.51"
"A49330","6/15/2005","31345.00","32435.49"
"A64466","1/17/2001","75226.00","97391.94"
"A64603","10/28/2002","51890.00","78190.13"
"A50208","5/7/2016","32975.00","35393.08"
"C90786","10/6/2005","10864.00","10404.46"
"A50307","6/4/2007","51770.00","86198.42"
"A49300","10/3/1988","39090.00","39544.74"
"A50701","11/17/2008","39983.00","52332.52"
"A64003","9/23/2015","37320.00","51802.14"
"A64603","10/3/2005","51890.00","75842.32"
"A06015","4/1/2013","50023.00","39365.02"
"A50553","10/31/1988","35797.00","36147.64"
"A99160","8/16/2001","79462.00","75968.11"
"A64136","11/10/2010","76808.00","78485.49"
"P04002","7/1/2017","19240.00","19240.00"
"A99295","8/17/1994","82484.00","126813.98"
"A99372","3/6/2017","40495.00","10693.12"
"A06013","8/14/2001","51888.00","50908.58"
"A50553","6/3/2010","22318.00","18214.37"
"A50100","7/17/2006","52602.00","51510.27"
"A50701","12/19/2015","39343.00","34350.24"
"A41102","9/14/2015","29120.00","23482.10"
"A99260","7/15/1980","49790.00","50904.93"
"A65100","4/24/1995","83398.00","87431.12"
"A83001","7/31/2017","24960.00","24960.00"
"A50208","12/23/2013","40603.00","39725.11"
"A75059","10/18/1999","34323.00","32025.44"
"A65027","12/4/2003","35268.00","35554.93"
"A90201","8/15/2013","38140.00","36012.63"
"A29004","3/13/2000","39609.00","38869.21"
"A99386","4/4/2007","68300.00","65146.74"
"A23001","7/23/2012","93720.00","76761.03"
"A64121","8/13/2003","69145.00","70038.07"
"A99416","1/31/2017","48971.00","18002.91"
"A68007","6/27/2009","35378.00","36787.04"
"A91014","8/27/1979","50404.00","49718.15"
"A03089","4/14/2010","32687.00","30741.75"
"A91011","10/16/2014","59500.00","56658.95"
"A75012","7/18/1977","50656.00","66561.02"
"A99408","8/24/2007","73834.00","60168.02"
"A64MIL","10/23/2007","65009.00","500.00"
"A64465","4/2/1990","81492.00","157726.90"
"A64301","11/13/2006","69145.00","69361.69"
"A90045","4/5/2011","30430.00","44169.33"
"A65042","10/10/2013","40603.00","51485.69"
"A50602","11/17/1997","43039.00","100744.88"
"B70372","1/26/2004","31345.00","31132.23"
"A29009","1/19/2015","107200.00","104980.80"
"C90786","11/30/2006","10864.00","10420.78"
"A02003","6/24/2006","44268.00","43767.21"
"B49330","3/26/1987","35006.00","35275.59"
"A41102","7/18/1980","100600.00","100322.58"
"A99396","3/19/2015","63300.00","61401.29"
"A99334","2/11/1999","80896.00","97048.30"
"A03090","8/12/2008","38197.00","37347.68"
"A50803","8/27/1984","56295.00","63674.65"
"A99416","2/27/2017","48971.00","14424.40"
"B49310","11/30/1989","35797.00","37874.47"
"A64140","10/23/2007","65009.00","75046.63"
"A08011","9/7/1984","70200.00","69180.06"
"A85301","2/21/2002","44712.00","78225.97"
"A65098","8/25/2015","55574.00","52482.15"
"A99400","8/21/2006","77591.00","141943.13"
"C90786","9/7/2006","10864.00","10312.52"
"A99400","1/25/1999","78988.00","109016.48"
"C90786","10/29/2009","10548.00","10223.12"
"A65026","6/25/2007","29494.00","7379.46"
"A29004","6/13/2016","67218.00","65842.36"
"A65201","1/11/2016","38915.00","37355.38"
"A99386","5/23/2011","57121.00","59412.45"
"A99408","8/23/2000","80179.00","65907.87"
"A83001","7/10/2006","82100.00","78393.36"
"A50208","12/23/2013","40603.00","44731.81"
"A99372","7/27/2015","48158.00","51919.20"
"A06013","4/9/2007","57278.00","5354.52"
"A06014","11/17/2003","57278.00","56387.64"
"A41106","8/4/2014","72400.00","71563.52"
"A30002","4/10/2017","108100.00","20384.65"
"A99125","4/8/1999","103247.00","107677.93"
"B70372","4/14/1969","35609.00","36027.51"
"A08011","8/14/2017","30534.00","30534.00"
"A65004","7/1/2016","81600.00","58804.79"
"A49412","6/23/1997","38561.00","55232.50"
"A50207","12/29/1986","46693.00","55271.43"
"A64218","1/17/2001","73041.00","85495.14"
"A65012","12/5/2016","31482.00","11016.47"
"A99396","1/11/1999","126378.00","122271.60"
"A99365","4/2/2007","35949.00","35892.04"
"A65008","7/13/2017","59500.00","59500.00"
"P04001","6/19/2014","20800.00","3110.00"
"A70320","8/28/2017","22318.00","22318.00"
"A99005","10/24/2006","78747.00","93906.78"
"A40002","5/12/2008","37367.00","38719.30"
"A65102","4/12/2012","26680.00","26679.95"
"A99063","7/7/2014","60617.00","98677.64"
"A85301","10/16/2014","32864.00","34614.05"
"A64151","12/12/2007","65009.00","79230.91"
"A99372","7/26/2010","48950.00","52597.06"
"A31003","8/18/2014","62306.00","54034.40"
"A99220","2/7/2012","67719.00","60162.36"
"A64465","6/3/2015","36263.00","36900.01"
"A99408","2/13/1999","105351.00","114911.03"
"A99064","11/1/2016","48971.00","30103.99"
"A85302","11/17/2011","42182.00","39289.51"
"A06016","10/27/2014","77200.00","76697.93"
"A50638","9/18/1999","32260.00","34255.38"
"A99223","2/25/2004","73454.00","81892.03"
"A64003","8/21/1996","75705.00","88943.14"
"P04001","11/13/2004","22880.00","3173.50"
"A49410","6/7/1977","47505.00","61801.57"
"A49507","6/10/1985","49790.00","59381.97"
"A49104","2/11/2008","48950.00","54303.23"
"A99322","2/19/2002","78747.00","78752.65"
"A99386","12/27/2016","107100.00","48057.34"
"A65072","4/30/2014","5512.00","3233.23"
"A64461","3/28/2001","80938.00","102089.22"
"A38001","8/21/1997","92302.00","92633.77"
"P04001","6/16/2015","24960.00","11112.00"
"A84401","2/13/1986","49790.00","47649.88"
"A50402","7/13/1981","61279.00","61036.27"
"A67012","5/23/2017","24960.00","270.00"
"A02002","3/9/2015","40685.00","38979.44"
"A38002","6/1/2006","48257.00","49911.52"
"A85301","11/12/2015","38381.00","42279.84"
"A85302","4/10/1986","54538.00","71555.84"
"A50209","5/24/2014","32114.00","25334.10"
"A64147","9/30/1985","80801.00","85420.63"
"A99308","2/2/1996","81086.00","85780.30"
"A19103","8/3/2015","34320.00","38259.36"
"A64121","8/9/1982","92778.00","108297.70"
"A50602","9/28/2015","29453.00","43907.85"
"A65531","7/7/2014","39343.00","36847.02"
"A75003","10/28/2002","33352.00","31479.02"
"A50212","11/12/2001","54134.00","52993.55"
"A65102","7/1/2007","26680.00","26679.96"
"A67010","1/5/1991","43413.00","53985.16"
"A50606","1/26/1998","30430.00","24976.91"
"A85100","2/2/2017","67892.00","21541.68"
"A01001","8/29/2011","44217.00","43650.40"
"A85301","7/6/2017","37348.00","37348.00"
"A50212","11/14/1988","49089.00","52365.31"
"A04009","6/16/2017","27040.00","27040.00"
"A49506","9/5/2006","38488.00","52056.61"
"A49300","12/11/2000","51888.00","53536.01"
"A67004","5/29/2009","42602.00","50864.48"
"C90900","4/10/1978","12128.00","11753.38"
"A50601","9/17/1979","75300.00","75269.24"
"A50303","2/25/2008","30430.00","31648.45"
"A41116","5/22/1991","44779.00","44988.91"
"A99386","4/17/2017","73400.00","11108.72"
"A64114","1/15/2003","69145.00","75646.33"
"A29010","7/14/2014","67218.00","45457.56"
"A64151","9/17/1990","78527.00","83930.32"
"P04002","6/3/2000","29120.00","18746.00"
"A65042","6/23/2007","36128.00","32009.17"
"P04002","6/25/2015","19240.00","2619.64"
"A02002","4/4/2007","65238.00","63495.79"
"A12003","11/11/1985","57898.00","57000.51"
"P04001","8/30/2010","20800.00","5550.00"
"A50306","11/22/2010","36128.00","37697.25"
"A02003","3/1/2010","83500.00","82974.28"
"A99338","8/13/2002","76892.00","114264.78"
"A99364","12/29/1977","50656.00","58556.01"
"A50209","1/22/2002","46459.00","46229.57"
"A50212","10/11/2005","45144.00","41539.68"
"P04002","6/21/2008","19240.00","1057.58"
"A50803","4/28/1975","70934.00","105625.44"
"A16001","11/12/2014","44092.00","41887.04"
"A75054","3/30/1998","94600.00","90081.99"
"C90786","1/20/2001","11180.00","10599.76"
"P04001","6/21/2006","20800.00","8515.00"
"A90201","8/30/1990","39090.00","38126.29"
"A50701","7/21/2003","41182.00","42172.67"
"A99004","4/17/2013","62676.00","70149.81"
"A31001","9/10/2012","49788.00","44083.42"
"A99093","1/28/1991","83881.00","124884.87"
"A67003","5/24/2014","30265.00","19185.08"
"A29008","9/22/2008","39983.00","39225.12"
"A99125","12/9/1987","97309.00","115212.78"
"A50209","6/30/2008","29599.00","1815.00"
"A06009","9/12/2011","59600.00","59431.87"
"A49310","9/29/1997","46343.00","50532.82"
"B70403","7/30/2012","36774.00","34892.30"
"A70320","8/28/2017","29120.00","29120.00"
"A50602","1/17/1995","43580.00","64861.12"
"A99263","12/1/2001","76892.00","126870.54"
"A50602","3/15/2004","33613.00","72745.70"
"A29008","9/27/2004","95700.00","93769.22"
"A04001","6/23/1988","40383.00","32716.49"
"A99300","8/6/1982","126378.00","120874.45"
"A50306","6/27/2005","44594.00","45959.40"
"A50306","10/2/2006","41821.00","39973.99"
"A65037","12/2/2004","31883.00","47505.76"
"A65201","1/12/2017","38152.00","15503.83"
"A99262","4/12/2007","71412.00","113346.66"
"A64105","2/25/2004","71092.00","82640.48"
"A99193","4/22/2003","93244.00","90177.89"
"A52001","3/20/2000","95326.00","95326.00"
"P04001","5/27/2017","24960.00","24960.00"
"A99394","8/4/2005","72775.00","79107.72"
"A99062","3/19/2015","49833.00","0.00"
"A50502","6/3/1980","40851.00","50401.03"
"A29004","1/7/2013","70500.00","69103.69"
"P04002","5/27/2017","19240.00","1006.25"
"A50803","1/16/1996","81000.00","78713.92"
"A68005","11/30/2015","31017.00","33127.00"
"A99422","3/30/2001","92393.00","113747.79"
"C90786","9/21/2017","9663.00","9663.00"
"P04002","5/24/2014","20800.00","10280.00"
"A90201","8/15/2013","38140.00","28057.80"
"A41101","7/25/1988","29120.00","14237.79"
"A17001","11/6/1986","80100.00","75619.42"
"A50608","4/19/1997","37500.00","73204.85"
"A99064","8/26/2015","49833.00","51001.76"
